Status,Date,Description,Debit,Credit
Cleared,02/10/2024,"CHIPOTLE 1158 ANN ARBOR MI null XXXXXXXXXXXX9868",12.67,
Cleared,02/07/2024,"ONLINE PAYMENT, THANK YOU",,-116.83
Cleared,02/06/2024,"DOMINO'S 1118 ANN ARBOR MI null XXXXXXXXXXXX9868",57.21,
Cleared,02/05/2024,"TST* MIZU SUSHI Holland MI",70.00,
Cleared,02/05/2024,"TST* MIZU SUSHI Holland MI",16.33,
Cleared,02/02/2024,"SLURPING TURTLE - ANN ANN ARBOR MI",30.50,
Cleared,01/26/2024,"ONLINE PAYMENT, THANK YOU",,-275.48
Cleared,01/23/2024,"Subway 25044 7344857827 MI null XXXXXXXXXXXX9868",11.65,
Cleared,01/15/2024,"STARBUCKS 800-782-7282 800-782-7282 WA null XXXXXXXXXXXX9868",25.00,
Cleared,01/12/2024,"BOYNE MTN F&B -DIN BOYNE FALLS MI",139.00,
Cleared,01/10/2024,"K&D BISTRO YPSILANTI MI",13.73,
Cleared,01/09/2024,"Subway 25044 7344857827 MI null XXXXXXXXXXXX9868",12.50,
Cleared,01/05/2024,"TST* TOMUKUN KOREAN BB Ann Arbor MI",73.60,
Cleared,01/03/2024,"ONLINE PAYMENT, THANK YOU",,-152.08
